Variable,Coefficient,Std_Error,t_value,p_value,Significant_05,Significant_01,Significant_001
Intercept,0.3674231177799687,0.6487430991458274,0.5663615046753318,0.5866806354803957,False,False,False
PFAS Intensity,-1.010561626115449,1.5398226822363983,-0.6562844136363388,0.5300610976692851,False,False,False
Action Scope,0.796606062220312,0.47131477961824275,1.6901784044742876,0.12946211494316348,False,False,False
Transparency,-0.3081453672670418,0.6617771797663665,-0.46563311139835506,0.6538918393353643,False,False,False
