tender_id,tfidf_pfas
316566,1.0
304965,1.0
303632,1.0
385313,1.0
393269,1.0
351784,1.0
340456,1.0
388614,1.0
388459,1.0
385068,1.0
351850,1.0
344532,1.0
380939,1.0
377116,1.0
376399,1.0
365570,1.0
364391,1.0
360255,1.0
391027,1.0
374947,1.0
386423,1.0
290448,1.0
292272,1.0
334580,1.0
202499,1.0
201264,1.0
362999,1.0
361078,1.0
243195,1.0
338170,1.0
395127,1.0
342636,0.0
201047,1.0
192643,1.0
289412,1.0
287334,1.0
201057,1.0
216607,1.0
229458,1.0
218400,1.0
305594,1.0
202095,1.0
214968,1.0
348448,1.0
345590,1.0
264646,1.0
247981,1.0
237502,1.0
346327,1.0
323284,1.0
244280,1.0
225471,1.0
387356,1.0
331085,1.0
330162,1.0
326744,1.0
391666,1.0
181643,1.0
290455,1.0
271147,1.0
393271,0.0
343732,0.0
