,mean_article_sentiment,mean_pfas_intensity,mean_scope,mean_transparency
mean_article_sentiment,1.0,-0.23658826171156966,0.22289270138961575,-0.1412020748248719
mean_pfas_intensity,-0.23658826171156966,1.0,-0.5435509564482588,-0.33032891547053306
mean_scope,0.22289270138961575,-0.5435509564482588,1.0,-0.20519422504475482
mean_transparency,-0.1412020748248719,-0.33032891547053306,-0.20519422504475482,1.0
